Wayfair Remittance #: 5346032
For Supplier: Kadehome Inc
Date: 08/22/2022

Invoice #,PO #,Date,Amount,StoreID,OrderType
CA417163969,CA417163969,2022-08-16 00:00:00,24.72,446,Drop-ship
CS417183533,CS417183533,2022-08-16 00:00:00,83.91,49,Drop-ship
CS417216277,CS417216277,2022-08-17 00:00:00,254.1,49,Drop-ship
CS417227563,CS417227563,2022-08-15 00:00:00,198.4,49,Drop-ship
CS417317481,CS417317481,2022-08-15 00:00:00,73.44,49,Drop-ship
CS417335424,CS417335424,2022-08-16 00:00:00,108.93,49,Drop-ship
CS417481140,CS417481140,2022-08-15 00:00:00,73.44,49,Drop-ship
CS417524171,CS417524171,2022-08-16 00:00:00,443.34,49,Drop-ship
CS417530458,CS417530458,2022-08-17 00:00:00,143.1,49,Drop-ship
CS417536265,CS417536265,2022-08-16 00:00:00,279.24,49,Drop-ship
CS417614910,CS417614910,2022-08-16 00:00:00,148.32,49,Drop-ship
CS417615389,CS417615389,2022-08-16 00:00:00,196.8,49,Drop-ship
CS417638501,CS417638501,2022-08-17 00:00:00,181.78,49,Drop-ship
CS417665316,CS417665316,2022-08-16 00:00:00,26.96,49,Drop-ship

Wayfair Allowance for Damages/Defects/Returns,,0.07,-156.55
Wayfair Early Pay Discount,,0.03,-67.09

Credit,CS410528717,07/01/2022,-9.62
Item: Kade-70529-CW,Qty: 1
Customer: Carissa Case,Reason: Replacement Part
Desc: "Credit reflects cost of replacement shipping costs we incurred totaling 9.62. Credit reflects the costs of carrier invoice(s) 000000Y36935342."



,,Total:,2003.22
