Wayfair Remittance #: 5301005
For Supplier: Kadehome Inc
Date: 08/08/2022

Invoice #,PO #,Date,Amount,StoreID,OrderType
CS414765093,CS414765093,2022-07-29 00:00:00,196.8,49,Drop-ship
CS414936087,CS414936087,2022-07-29 00:00:00,198.4,49,Drop-ship
CS414960670,CS414960670,2022-07-29 00:00:00,424.8,49,Drop-ship
CS414996268,CS414996268,2022-07-29 00:00:00,67.99,49,Drop-ship
CS415125168,CS415125168,2022-08-01 00:00:00,849.6,49,Drop-ship
CS415228330,CS415228330,2022-08-01 00:00:00,356,49,Drop-ship
CS415260049,CS415260049,2022-08-01 00:00:00,148.32,49,Drop-ship
CS415392459,CS415392459,2022-08-01 00:00:00,181.78,49,Drop-ship
CS415444997,CS415444997,2022-08-01 00:00:00,157.5,49,Drop-ship
CS415454343,CS415454343,2022-08-01 00:00:00,196.8,49,Drop-ship

Wayfair Allowance for Damages/Defects/Returns,,0.07,-194.46
Wayfair Early Pay Discount,,0.03,-83.34


,,Total:,2500.19
