Wayfair Remittance #: 5283485
For Supplier: Kadehome Inc
Date: 08/02/2022

Invoice #,PO #,Date,Amount,StoreID,OrderType
CA414292117,CA414292117,2022-07-25 00:00:00,32.68,446,Drop-ship
CA414601460,CA414601460,2022-07-27 00:00:00,40.94,446,Drop-ship
CS414091523,CS414091523,2022-07-27 00:00:00,196.8,49,Drop-ship
CS414269959,CS414269959,2022-07-25 00:00:00,34.68,49,Drop-ship
CS414283244,CS414283244,2022-07-25 00:00:00,63.96,49,Drop-ship
CS414322230,CS414322230,2022-07-27 00:00:00,196.8,49,Drop-ship
CS414400652,CS414400652,2022-07-26 00:00:00,40.94,49,Drop-ship
CS414412577,CS414412577,2022-07-26 00:00:00,198.4,49,Drop-ship
CS414426499,CS414426499,2022-07-25 00:00:00,69.99,49,Drop-ship
CS414440740,CS414440740,2022-07-26 00:00:00,73.44,49,Drop-ship
CS414441482,CS414441482,2022-07-26 00:00:00,48.36,49,Drop-ship
CS414465984,CS414465984,2022-07-25 00:00:00,100,49,Drop-ship
CS414515583,CS414515583,2022-07-27 00:00:00,108.93,49,Drop-ship
CS414528922,CS414528922,2022-07-27 00:00:00,69.99,49,Drop-ship
CS414555362,CS414555362,2022-07-27 00:00:00,143.1,49,Drop-ship
CS414599770,CS414599770,2022-07-26 00:00:00,1034,49,Drop-ship
CS414675576,CS414675576,2022-07-28 00:00:00,51.7,49,Drop-ship
CS414681101,CS414681101,2022-07-26 00:00:00,153,49,Drop-ship
CS414851824,CS414851824,2022-07-28 00:00:00,849.6,49,Drop-ship
CS414915129,CS414915129,2022-07-28 00:00:00,58.36,49,Drop-ship

Wayfair Allowance for Damages/Defects/Returns,,0.07,-249.6
Wayfair Early Pay Discount,,0.03,-106.97


,,Total:,3209.1
