Wayfair Remittance #: 5334008
For Supplier: Kadehome Inc
Date: 08/18/2022

Invoice #,PO #,Date,Amount,StoreID,OrderType
CS416691585,CS416691585,2022-08-11 00:00:00,952.29,49,Drop-ship
CS416793567,CS416793567,2022-08-10 00:00:00,195.39,49,Drop-ship
CS416798367,CS416798367,2022-08-10 00:00:00,196.8,49,Drop-ship
CS416823834,CS416823834,2022-08-10 00:00:00,196.8,49,Drop-ship
CS416880694,CS416880694,2022-08-11 00:00:00,198.4,49,Drop-ship
CS416885667,CS416885667,2022-08-11 00:00:00,202.36,49,Drop-ship
CS416967720,CS416967720,2022-08-11 00:00:00,73.44,49,Drop-ship
CS416977587,CS416977587,2022-08-11 00:00:00,198.4,49,Drop-ship
CS416988766,CS416988766,2022-08-11 00:00:00,59.4,49,Drop-ship
CS416994235,CS416994235,2022-08-11 00:00:00,67.99,49,Drop-ship
CS417062036,CS417062036,2022-08-12 00:00:00,424.8,49,Drop-ship

Wayfair Allowance for Damages/Defects/Returns,,0.07,-193.62
Wayfair Early Pay Discount,,0.03,-82.98


,,Total:,2489.47
