Wayfair Remittance #: 5326523
For Supplier: Kadehome Inc
Date: 08/15/2022

Invoice #,PO #,Date,Amount,StoreID,OrderType
CS416148450,CS416148450,2022-08-08 00:00:00,52.2,49,Drop-ship
CS416160432,CS416160432,2022-08-09 00:00:00,69.99,49,Drop-ship
CS416166230,CS416166230,2022-08-09 00:00:00,67.99,49,Drop-ship
CS416188729,CS416188729,2022-08-08 00:00:00,196.8,49,Drop-ship
CS416262245,CS416262245,2022-08-08 00:00:00,32.68,49,Drop-ship
CS416290763,CS416290763,2022-08-08 00:00:00,65.36,49,Drop-ship
CS416325092,CS416325092,2022-08-09 00:00:00,67.99,49,Drop-ship
CS416355691,CS416355691,2022-08-08 00:00:00,196.8,49,Drop-ship
CS416364294,CS416364294,2022-08-08 00:00:00,405.72,49,Drop-ship
CS416364546,CS416364546,2022-08-09 00:00:00,108.36,49,Drop-ship
CS416388152,CS416388152,2022-08-08 00:00:00,424.8,49,Drop-ship
CS416497527,CS416497527,2022-08-08 00:00:00,217.6,49,Drop-ship
CS416516830,CS416516830,2022-08-08 00:00:00,59.3,49,Drop-ship
CS416520789,CS416520789,2022-08-09 00:00:00,90,49,Drop-ship
CS416554238,CS416554238,2022-08-09 00:00:00,181.78,49,Drop-ship
CS416584585,CS416584585,2022-08-09 00:00:00,198.4,49,Drop-ship
CS416652285,CS416652285,2022-08-09 00:00:00,180.6,49,Drop-ship
CS416673021,CS416673021,2022-08-09 00:00:00,141.81,49,Drop-ship
CS416686669,CS416686669,2022-08-09 00:00:00,196.8,49,Drop-ship

Wayfair Allowance for Damages/Defects/Returns,,0.07,-206.85
Wayfair Early Pay Discount,,0.03,-88.65

Credit,CS411124012,07/06/2022,-38.71
Item: KA-HS60SC-BR,Qty: 1
Customer: Richard Ashwood,Reason: Replacement Part
Desc: "Credit reflects cost of replacement shipping costs we incurred totaling 38.71. Credit reflects the costs of carrier invoice(s) 0000009Y8036302."

Credit,CS411124012,07/06/2022,-109.83
Item: KA-HS60SC-BR,Qty: 1
Customer: Richard Ashwood,Reason: Replacement Part
Desc: "Credit reflects cost of replacement shipping costs we incurred totaling 109.83. Credit reflects the costs of carrier invoice(s) 0000009Y8036312."



,,Total:,2510.94
